coordinate_x,coordinate_y,cost,parent_coordinate_x,parent_coordinate_y
74.4869640779,84.8914594245,52.86305005866709,72.6885851766,82.5993979277
78.950906057,87.8091672641,58.095746189117605,72.6885851766,82.5993979277
82.7031877169,93.1888561803,64.65476063416246,78.950906057,87.8091672641
86.6529217872,98.4696434942,71.24923664676086,82.7031877169,93.1888561803
83.1422472813,91.6815948422,63.802149312464756,78.950906057,87.8091672641
88.1599722051,97.983860972,71.85796223120536,83.1422472813,91.6815948422
95.8310617882,104.2108600021,81.73830292942077,88.1599722051,97.983860972
87.2556677353,95.2646526887,69.2572873824636,83.1422472813,91.6815948422
89.8817539987,96.4359487823,72.04986609843796,83.1422472813,91.6815948422
95.9956610978,102.5406232142,80.68971042203076,89.8817539987,96.4359487823
95.3284359687,101.3691650391,79.39853721086902,89.8817539987,96.4359487823
95.0234614222,102.0592960626,79.66952421831003,89.8817539987,96.4359487823
92.0083860135,98.0706083505,74.73215535023019,89.8817539987,96.4359487823
78.739827783,87.3406594276,57.637145819818926,72.6885851766,82.5993979277
84.488237987,91.1919924411,64.55646557354663,78.739827783,87.3406594276
52.2513392248,64.0291636912,22.25339817295199,45.1450362404,58.8027747739
53.3893625328,66.2045944378,24.708514459974644,52.2513392248,64.0291636912
25.3699411325,50.3402141104,9.636066595475079,35.0,50.0
17.9638333602,47.8527411332,17.448745658845255,25.3699411325,50.3402141104
9.3410128207,44.8063361016,26.593887411326776,17.9638333602,47.8527411332
10.4943070315,44.9176806251,25.474230302239118,17.9638333602,47.8527411332
11.6415872249,46.3890049615,23.93822327847372,17.9638333602,47.8527411332
4.0600402803,44.6069565486,31.726390625102386,11.6415872249,46.3890049615
1.0724690763,44.2321136827,34.73738529017341,4.0600402803,44.6069565486
6.1644248946,44.9780298532,29.59420753841465,11.6415872249,46.3890049615
-0.2290796939,44.9043598309,35.98813654923079,6.1644248946,44.9780298532
-2.8481418966,44.5124537157,38.61879181170117,6.1644248946,44.9780298532
12.5246272506,46.1930148196,23.13554216819621,17.9638333602,47.8527411332
7.9248138348,44.4605790548,28.050785513070586,12.5246272506,46.1930148196
7.5707807991,44.9041117869,28.254317968399068,12.5246272506,46.1930148196
6.9786506401,44.3048649363,28.9941227596039,12.5246272506,46.1930148196
1.0870911483,42.7352196339,35.091192516525254,6.9786506401,44.3048649363
-3.6708278494,40.1588564702,40.501870878796,1.0870911483,42.7352196339
18.8702693646,49.0348315311,16.265527868367187,25.3699411325,50.3402141104
15.1140467801,48.4734033912,20.06347595392331,18.8702693646,49.0348315311
5.5310466251,45.8805361828,29.991056340458897,15.1140467801,48.4734033912
14.6748554765,47.5730875629,20.70829650076652,18.8702693646,49.0348315311
23.7503418882,50.7140050539,11.298240287235284,25.3699411325,50.3402141104
14.6588824403,52.9990883018,20.67247307411675,23.7503418882,50.7140050539
8.8689648947,54.5821395266,26.674905611445887,14.6588824403,52.9990883018
8.9751245457,54.5406665596,26.561578891585942,14.6588824403,52.9990883018
-0.1493691551,56.2059110493,35.83678371446803,8.9751245457,54.5406665596
4.6365432483,54.6853550126,30.902572144584685,8.9751245457,54.5406665596
4.783897144,55.2162106135,30.806899480366084,8.9751245457,54.5406665596
14.2810803315,50.529683767,20.769295601507345,23.7503418882,50.7140050539
10.333603631,50.5475432989,24.716812702657137,14.2810803315,50.529683767
14.2957262576,52.0005893929,20.83999358438911,23.7503418882,50.7140050539
9.9721850003,51.9507053926,25.163822607033413,14.2957262576,52.0005893929
1.3753974615,51.972802208,33.76063854414163,9.9721850003,51.9507053926
-0.5750790923,52.2753674789,35.7344431266873,1.3753974615,51.972802208
9.3654805258,52.4842997446,25.793911092813513,14.2957262576,52.0005893929
4.3762487165,53.6776529894,30.923874641787876,9.3654805258,52.4842997446
1.7665521156,53.0016563795,33.410430696347646,9.3654805258,52.4842997446
4.6878714791,52.8612951614,30.486323864069277,14.2957262576,52.0005893929
-0.1147710843,54.7461805208,35.64560369849014,4.6878714791,52.8612951614
-1.4295993732,53.4740080195,36.63440215530965,4.6878714791,52.8612951614
14.7549608324,50.9040199068,20.295628018314133,23.7503418882,50.7140050539
24.8564023501,50.6030739362,10.212969853438212,25.3699411325,50.3402141104
24.3538327286,48.6686153514,11.592266661819657,25.3699411325,50.3402141104
23.0656391858,47.7988815952,13.066544465157108,25.3699411325,50.3402141104
21.2827351164,47.4173304997,14.660855309415464,25.3699411325,50.3402141104
16.6145063395,48.6448419698,18.55413393709106,25.3699411325,50.3402141104
16.3353725445,49.8783477474,18.682433275449263,25.3699411325,50.3402141104
7.6656342855,49.3288535479,27.369567748614305,16.3353725445,49.8783477474
-1.0481166223,49.5087795984,36.0851760616831,7.6656342855,49.3288535479
0.4138730529,49.9507937863,34.64795016744758,7.6656342855,49.3288535479
12.7919286273,49.7355048965,22.228755155143055,16.3353725445,49.8783477474
18.8488489398,49.5721759078,16.20223184365045,25.3699411325,50.3402141104
12.0799470262,49.058474801,22.990598506041728,18.8488489398,49.5721759078
10.5994252037,48.9044753541,24.478632994340366,18.8488489398,49.5721759078
1.3798693594,46.3565674538,34.043780386543865,10.5994252037,48.9044753541
5.6519320488,48.4656618508,29.445548114257434,10.5994252037,48.9044753541
-1.7434471988,48.5488402817,36.8413951155954,5.6519320488,48.4656618508
